Artist Name,Artist Major,Project Title,Project Date,Project Genre,Project Description,Project Link,All Fields Filled,Date Validation,Link Validation,,Base URL,Last Update To Sheet
Chris Vasquez,Drawing,Heavy Metal Light Show,2018-03-21,Wire and LED string lights,"With Psyche, you never have to take down your holiday lights! Inspired by festive holiday light sculptures, I wanted to create something reminiscent of those while keeping true to the design of Psyche.",https://psyche.ssl.berkeley.edu/gallery/heavy-metal-light-show/,,,,,,
Abigail Weibel,Geology,Psyche Cross Stitch,2018-03-19,"Cloth and Thread, 8″ x 10″","This cross stitch is based off the current artist rendering of the Psyche asteroid. I chose to exaggerate the image by using a lot of color to help it pop off the black background (and because there are only so many choices of grey thread!). If you are interested in cross-stitching your own Psyche, the pattern I created and thread color recommendations can be downloaded here:",https://psyche.ssl.berkeley.edu/gallery/psyche-cross-stitch/,,,,,,
Nikka Bacalzo,Graphic Design,Psyche Stop Motion,2018-03-16,Paper Art Stop Motion Film,"This stop motion shows Psyche leaving Earth, passing the Moon, Mars, and a few meteoroids on its way to Psyche. All pieces were hand-cut from weighted cardstock. Dimensions of the Psyche spacecraft are 2” x 0.75”. The music is a piece called “Ideas” written by fellow Psyche Inspired intern Isaac Wisdom! Cinematography by Matthew Berger.",https://psyche.ssl.berkeley.edu/gallery/psyche-stop-motion/,,,,,,
Kari Sanford,Engineering Management,Psyche Poems,2018-03-06,Poetry,"For the ASU Open Door public event on February 24, I wrote approximately 30 personalized poems, with space words chosen by the participants. These half-sheets also have a link to the Psyche website, coupled with coloring images of the Psyche Logo and an artist’s rendition of the asteroid.

My favorite poem I wrote that day was:

Staring up high, guided by an azimuth,
I spy a star hidden in a labyrinth.",https://psyche.ssl.berkeley.edu/gallery/psyche-poems/,,,,,,
Brianna Orrill,Astrobiology,Asteroid Belt,2018-03-02,Chalk on concrete,"In this piece I wanted to create a fun interactive piece that not only engaged the public but also shared a little history. In the ASU Asteroid Belt, I included three asteroids that humans have already visited, Eros, Vesta and Ceres, as well as Psyche, which will be visited in 2026. The public were welcome to fill in the smaller surrounding asteroids, creating an amazing mash up of imagination and creativity. ASU’s Asteroid Belt embraces the combination of science and art, just like the Psyche Inspired program does.",https://psyche.ssl.berkeley.edu/gallery/asteroid-belt/,,,,,,
Isaac Wisdom,Music and Electrical Engineering,Journey,2018-02-22,Composition,"Journey is a piece I wrote to capture the feelings of the Psyche probe’s journey to its namesake, the asteroid Psyche. My inspiration came from the balance between the solemn yet dignified solitude the probe will experience and the knowledge that ultimately, it is coming from a place of great knowledge and going somewhere to accomplish something greater. I had assistance from Dr. Rockmaker of ASU’s School of Music, who guided me through the specifics of classically oriented composition. The form of my piece was inspired by the exposition of a typical sonata, featuring a first theme in Db major, a second theme in Ab major, and ending with a recapitulation back in Db. The cover art was designed and illustrated by fellow Psyche Inspired intern Brianna Orrill.",https://psyche.ssl.berkeley.edu/gallery/journey/,,,,,,
"Sofia Garcia",Painting,Many Minds,2018-02-21,Digital Illustration,This is a work reflecting the many minds that make the Psyche mission. It all began somewhere. The inspiration and motivation to live out what is beyond human comprehension. This is based off a story I created for the Psyche mission. Young minds inspired to live out the unimaginable.,https://psyche.ssl.berkeley.edu/gallery/many-minds/,,,,,,
Anne Norenberg,Digital Culture (Design),Psyche Eye Chart,2018-02-20,Digital Illustration,"This work was inspired by Luke Dubois’ Hindsight is Always 20/20 project. I made a Psyche Stylized Snellen eye chart, which helps determine a patient’s eyesight from the ability to measure the distance from the chart while reading the letters. I also took words that were important to the Psyche mission and included them as the lines on the eye chart.",https://psyche.ssl.berkeley.edu/gallery/psyche-eye-chart/,,,,,,
Brianna Orrill,Astrobiology,Psyche Perspective,2018-02-19,Watercolor,"This is a painting of the asteroid inspired by the artist rendition in most of Psyche’s videos. The piece is from the perspective of the spacecraft as it is coming over one side of the asteroid. I used watercolor, with a special focus on some metallic watercolors to create the metallic feel for the asteroid.",https://psyche.ssl.berkeley.edu/gallery/psyche-perspective/,,,,,,
Chris Vasquez,Drawing,Mylar Psyche,2018-02-08,Mylar and drawing,I created a custom Psyche asteroid Mylar balloon so you have the opportunity to see the metal body floating through space. Your party has never been more metal!,https://psyche.ssl.berkeley.edu/gallery/mylar-psyche/,,,,,,
John Domenico,Ceramics/Materials Science (Double Major),Iron,2018-02-06,Stoneware,"I find it intriguing to think about how the element iron exists in space compared to its presence on Earth. Iron on Earth, in the presence of oxygen, naturally oxidizes. These oxide states of iron have a vast array of color possibilities ranging from red to brown to yellow to black. The exterior of this piece reflects on the spectrum of color we are familiar with in reference to iron. The form then adds a layer of curiosity in that, as a lidded vessel, there is an interior surface that is hidden from the viewer. This introduces the kind of unknown that I associate with Psyche. What will be the state of the iron on Psyche be?",https://psyche.ssl.berkeley.edu/gallery/iron/,,,,,,
Isaac Wisdom,Music and Electrical Engineering,Construction,2018-01-08,Composition and Performance,"‘Construction’ is my interpretation of the build process for the construction of the Psyche spacecraft. The tune is upbeat and happy, which I feel fits the emotions the technicians will feel as they fit together the pieces that will become Psyche. Along with the written score is a live recording and a music video where I play the parts of the piece. This video features me playing the trumpet, trombone, alto and tenor saxophone, upright bass, and piano. I recorded and edited the music using Apple’s GarageBand software, and I created the video using Adobe’s Premiere Pro CC software.",https://psyche.ssl.berkeley.edu/gallery/construction/,,,,,,
Megan Bromley,Biogeoscience/English (Double Major),Psyche Zine,2018-02-05,Paper and ink,"This work is a one-page ‘zine’ about Psyche that anyone can make and read. It is printed all on one side of a page and, when folded correctly, makes a small 8-page book. There are both images and written facts and poetry about Psyche. It is designed in black and white so the reader can color it and add their own art to it. Download and print out the zine, then watch a video to see how to fold it into a book.",https://psyche.ssl.berkeley.edu/gallery/psyche-zine/,,,,,,
Nikka Bacalzo,Graphic Design,Psyche Paper Quilling,2018-01-31,Paper Quilling,"I outlined the word Psyche with white cardstock and chose colors similar to the Psyche logo to
fill in the letters. I chose to run the yellow colors through the middle of each letter, and surround the letters with white wavy pieces to create more movement, since Psyche will be orbiting! I also included Psyche the asteroid in between the “Y” and “C” as a focal point. Dimensions: 17″ x 6″.",https://psyche.ssl.berkeley.edu/gallery/psyche-paper-quilling/,,,,,,
